name,primary_tag,secondary_tag,data_group
event__category,Events,,
event__created,Events,Date and Time,
event__deleted,Events,Date and Time,
event__description,Events,,
event__destination__can_have_events,Event Destination,,
event__destination__city,Event Destination,,
event__destination__created,Event Destination,Date and Time,
event__destination__default_event_length,Event Destination,,
event__destination__deleted,Event Destination,,
event__destination__description,Event Destination,,
event__destination__desktop_zoom_level,Event Destination,,
event__destination__destination_id,Event Destination,ID Fields,
event__destination__generic_destination,Event Destination,Details,
event__destination__hide_event_modal,Event Destination,,
event__destination__last_updated,Event Destination,,
event__destination__location_lat,Event Destination,Address,
event__destination__location_lon,Event Destination,Address,
event__destination__mobile_zoom_level,Event Destination,,
event__destination__monthly_enabled,Event Destination,,
event__destination__override_ideal_zoom,Event Destination,,
event__destination__parent_destination_id,Event Destination,ID Fields,
event__destination__seatgeek_auto_create,Event Destination,Date and Time,
event__destination__seatgeek_auto_update,Event Destination,,
event__destination__seatgeek_destination_title,Event Destination,Details,
event__destination__seatgeek_performer_id,Event Destination,ID Fields,
event__destination__show_only_transient,Event Destination,,
event__destination__spothero_city_id,Event Destination,ID Fields,
event__destination__state,Event Destination,Address,
event__destination__status,Event Destination,Details,
event__destination__street_address,Event Destination,Address,
event__destination__title,Event Destination,Details,
event__destination__venue_content_enabled,Event Destination,,
event__destination__zipcode,Event Destination,Address,
event__destination_id,Event Destination,ID Fields,
event__ends,Events,Date and Time,
event__event_ends_offset,Events,Date and Time,
event__event_id,Events,ID Fields,
event__event_starts_offset,Events,Date and Time,
event__is_deleted_parent_event,Events,,
event__is_high_profile,Events,,
event__last_updated,Events,,
event__parent_event_id,Events,ID Fields,
event__popularity_score,Events,,
event__seatgeek_destination,Events,Details,
event__seatgeek_id,Events,ID Fields,
event__seatgeek_update,Events,,
event__short_description,Events,Details,
event__starts,Events,Date and Time,
event__title,Events,Details,
facility__account_owner,Canonical Facility,Facility Config Details,
facility__canonical_facility__address_id,Canonical Facility,Address,
facility__canonical_facility__canonical_facility_id,Canonical Facility,ID Fields,
facility__canonical_facility__canonical_facility_title,Canonical Facility,Details,
facility__canonical_facility__external_id,Canonical Facility,ID Fields,
facility__canonical_facility__facility_currency,Canonical Facility,,
facility__canonical_facility__facility_timezone,Canonical Facility,Date and Time,
facility__canonical_facility__is_airport_facility,Canonical Facility,,
facility__canonical_facility__reporting_market,Geography,Reporting Market,
facility__canonical_facility__reporting_market_top_6_canada,Geography,Reporting Market,
facility__canonical_facility__reporting_market_top_8,Geography,Reporting Market,
facility__default_facility_spaces,Canonical Facility,Facility Config Details,
facility__external_id,Canonical Facility,Facility Config Details,
facility__facility_created_at,Canonical Facility,Facility Config Details,
facility__facility_title,Canonical Facility,Facility Config Details,
facility__facility_type,Canonical Facility,Facility Config Details,
facility__geography__country_name,Geography,,
facility__geography__county_name,Geography,,
facility__geography__geography_id,Geography,ID Fields,
facility__geography__locality_name,Geography,,
facility__geography__neighbourhood_name,Geography,,
facility__geography__region_name,Geography,,
forex__date,Forex,,
forex__forex_id,Forex,,
forex__fx_rate,Forex,,
metric_time,Date and Time,,
rental__event_id,Rental,ID Fields,
rental__facility_configuration_id,Rental,ID Fields,
rental__is_valid,Rental,Reservation Details,
rental__partner_id,Rental,ID Fields,
rental__payment_type_title,Rental,Rental Payment Details,
rental__rental_created_at_cst,Date and Time,Rental,
rental__rental_created_at_local,Date and Time,Rental,
rental__rental_ends_at_cst,Date and Time,Rental,
rental__rental_ends_at_cst_time,Date and Time,Rental,
rental__rental_ends_at_local,Date and Time,Rental,
rental__rental_ends_at_local_time,Date and Time,Rental,
rental__rental_id,Rental,ID Fields,
rental__rental_lead_time,Rental,Lead Time,
rental__rental_lead_time_local,Rental,Lead Time,
rental__rental_length_hours,Rental,Rental Length,
rental__rental_length_minutes,Rental,Rental Length,
rental__rental_payment_status,Rental,Rental Payment Details,
rental__rental_payment_type_title,Rental,Rental Payment Details,
rental__rental_reservation_status,Rental,Reservation Details,
rental__rental_rule_type_title,Rental,Reservation Details,
rental__rental_segment,Rental,Rental Segmentation,
rental__rental_segment_rollup,Rental,Rental Segmentation,
rental__rental_source_title,Rental,Reservation Details,
rental__rental_starts_at_cst,Date and Time,Rental,
rental__rental_starts_at_cst_time,Date and Time,Rental,
rental__rental_starts_at_local,Date and Time,Rental,
rental__rental_starts_at_local_time,Date and Time,Rental,
rental__renter_id,Rental,ID Fields,
renter__date_joined,Renter Details,Signup and Recency,
renter__days_since_first_rental,Renter Details,Signup and Recency,
renter__days_since_last_rental,Renter Details,Signup and Recency,
renter__email,Renter Details,Details,
renter__first_name,Renter Details,Details,
renter__first_rental_date,Renter Details,Signup and Recency,
renter__first_rental_id,Renter Details,ID Fields,
renter__last_name,Renter Details,Details,
renter__last_rental_date,Renter Details,Signup and Recency,
renter__last_rental_id,Renter Details,ID Fields,
renter__lifetime_credit_used,Renter Details,,
renter__lifetime_rentals,Renter Details,,
renter__lifetime_value,Renter Details,,
renter__phone_number,Renter Details,Details,
renter__renter_id,Renter Details,ID Fields,
